"";"COD_Microrregiao_Geografica";"Nome_Microrregiao";"Trienio";"Categoria_Adequacao";"Pop";"Tot";"Prop"
"214";"31012";"Aracuai";"2015_2017";"Categoria 1 ou Adequada (C1)";539292;556401;0,969250594445373
"215";"31012";"Aracuai";"2015_2017";"Categoria 2 ou Intermediária (C2)";17109;556401;0,030749405554627
"216";"31012";"Aracuai";"2015_2017";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"217";"31013";"Pedra_Azul";"2000_2002";"Categoria 1 ou Adequada (C1)";NA;NA;0
"218";"31013";"Pedra_Azul";"2000_2002";"Categoria 2 ou Intermediária (C2)";118148;318092;0,371427134288193
"219";"31013";"Pedra_Azul";"2000_2002";"Categoria 3 ou Inadequada (C3)";199944;318092;0,628572865711807
"220";"31013";"Pedra_Azul";"2003_2005";"Categoria 1 ou Adequada (C1)";NA;NA;0
"221";"31013";"Pedra_Azul";"2003_2005";"Categoria 2 ou Intermediária (C2)";290363;318960;0,910342989716579
"222";"31013";"Pedra_Azul";"2003_2005";"Categoria 3 ou Inadequada (C3)";28597;318960;0,0896570102834211
"223";"31013";"Pedra_Azul";"2006_2008";"Categoria 1 ou Adequada (C1)";64833;319691;0,202798952738738
"224";"31013";"Pedra_Azul";"2006_2008";"Categoria 2 ou Intermediária (C2)";227976;319691;0,713113600320309
"225";"31013";"Pedra_Azul";"2006_2008";"Categoria 3 ou Inadequada (C3)";26882;319691;0,0840874469409524
"226";"31013";"Pedra_Azul";"2009_2011";"Categoria 1 ou Adequada (C1)";178044;320348;0,55578308589409
"227";"31013";"Pedra_Azul";"2009_2011";"Categoria 2 ou Intermediária (C2)";52731;320348;0,164605366663753
"228";"31013";"Pedra_Azul";"2009_2011";"Categoria 3 ou Inadequada (C3)";89573;320348;0,279611547442157
"229";"31013";"Pedra_Azul";"2012_2014";"Categoria 1 ou Adequada (C1)";117069;321009;0,364690709606273
"230";"31013";"Pedra_Azul";"2012_2014";"Categoria 2 ou Intermediária (C2)";180151;321009;0,56120233389095
"231";"31013";"Pedra_Azul";"2012_2014";"Categoria 3 ou Inadequada (C3)";23789;321009;0,0741069565027772
"232";"31013";"Pedra_Azul";"2015_2017";"Categoria 1 ou Adequada (C1)";116156;321662;0,361111974681498
"233";"31013";"Pedra_Azul";"2015_2017";"Categoria 2 ou Intermediária (C2)";205506;321662;0,638888025318502
"234";"31013";"Pedra_Azul";"2015_2017";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"235";"31014";"Almenara";"2000_2002";"Categoria 1 ou Adequada (C1)";NA;NA;0
"236";"31014";"Almenara";"2000_2002";"Categoria 2 ou Intermediária (C2)";418542;493013;0,848947188005184
"237";"31014";"Almenara";"2000_2002";"Categoria 3 ou Inadequada (C3)";74471;493013;0,151052811994816
"238";"31014";"Almenara";"2003_2005";"Categoria 1 ou Adequada (C1)";NA;NA;0
"239";"31014";"Almenara";"2003_2005";"Categoria 2 ou Intermediária (C2)";375022;511598;0,733040394997635
"240";"31014";"Almenara";"2003_2005";"Categoria 3 ou Inadequada (C3)";136576;511598;0,266959605002365
"241";"31014";"Almenara";"2006_2008";"Categoria 1 ou Adequada (C1)";NA;NA;0
"242";"31014";"Almenara";"2006_2008";"Categoria 2 ou Intermediária (C2)";337123;515756;0,653648236763121
"243";"31014";"Almenara";"2006_2008";"Categoria 3 ou Inadequada (C3)";178633;515756;0,346351763236879
"244";"31014";"Almenara";"2009_2011";"Categoria 1 ou Adequada (C1)";30304;519486;0,0583345845701328
"245";"31014";"Almenara";"2009_2011";"Categoria 2 ou Intermediária (C2)";333612;519486;0,642196324828773
"246";"31014";"Almenara";"2009_2011";"Categoria 3 ou Inadequada (C3)";155570;519486;0,299469090601094
"247";"31014";"Almenara";"2012_2014";"Categoria 1 ou Adequada (C1)";271813;523240;0,519480544300894
"248";"31014";"Almenara";"2012_2014";"Categoria 2 ou Intermediária (C2)";138919;523240;0,265497668373978
"249";"31014";"Almenara";"2012_2014";"Categoria 3 ou Inadequada (C3)";112508;523240;0,215021787325128
"250";"31014";"Almenara";"2015_2017";"Categoria 1 ou Adequada (C1)";322871;526952;0,612714251013375
"251";"31014";"Almenara";"2015_2017";"Categoria 2 ou Intermediária (C2)";135086;526952;0,256353519865187
"252";"31014";"Almenara";"2015_2017";"Categoria 3 ou Inadequada (C3)";68995;526952;0,130932229121438
"253";"31015";"Teofilo_Otoni";"2000_2002";"Categoria 1 ou Adequada (C1)";NA;NA;0
